CarTurnLog -- start condition -- 
 mTarget, -1230.295410,-510.817566
 mAngleToTarget, 2.244185
 mMoveAngleError, -3.141021
 mDistError, 0.620492
 mMoveAngleSgn, -1.000000
 mShoulderAngleError, -3.050342
 mShoulderAngleSgn, -1.000000
 mPosition, -1229.908447,-510.332520
 mIsPerfect, 0

CarTurnLog -- iterations -- 
 mPositionX, mPositionZ, mMoveAngle, mShoulderAngle, mSpeed, mT, mDistToTarget, mAngleToTarget, mMoveAngleError, mAbsMoveAngleError, mShoulderAngleError, mAbsShoulderAngleError
-1215.651611, -490.972198, -0.973490, 2.244445, 0.101926, 238.000000, 24.663322, 2.206505, -3.103191, 3.103191, 0.000000, 0.000000
-1215.537109, -490.803558, -0.974129, 2.244445, 0.101926, 240.000000, 24.867004, 2.206184, -3.102872, 3.102872, 0.000000, 0.000000
-1215.422729, -490.634857, -0.974769, 2.244445, 0.101926, 242.000000, 25.070667, 2.205862, -3.102554, 3.102554, 0.000000, 0.000000
-1215.308350, -490.466095, -0.975409, 2.244445, 0.101926, 244.000000, 25.274382, 2.205544, -3.102232, 3.102232, 0.000000, 0.000000
-1215.194092, -490.297241, -0.976049, 2.244445, 0.101926, 246.000000, 25.478100, 2.205225, -3.101911, 3.101911, 0.000000, 0.000000
-1215.079956, -490.128326, -0.976689, 2.244445, 0.101926, 248.000000, 25.681797, 2.204906, -3.101590, 3.101590, 0.000000, 0.000000
-1214.965942, -489.959320, -0.977329, 2.244445, 0.101926, 250.000000, 25.885498, 2.204586, -3.101270, 3.101270, 0.000000, 0.000000
-1214.852051, -489.790253, -0.977969, 2.244445, 0.101926, 252.000000, 26.089180, 2.204266, -3.100950, 3.100950, 0.000000, 0.000000
-1214.738281, -489.621124, -0.978609, 2.244445, 0.101926, 254.000000, 26.292839, 2.203946, -3.100631, 3.100631, 0.000000, 0.000000
-1214.624634, -489.451904, -0.979249, 2.244445, 0.101926, 256.000000, 26.496504, 2.203625, -3.100312, 3.100312, 0.000000, 0.000000
-1214.511108, -489.282623, -0.979889, 2.244445, 0.101926, 258.000000, 26.700150, 2.203304, -3.099993, 3.099993, 0.000000, 0.000000
-1214.397705, -489.113251, -0.980529, 2.244445, 0.101926, 260.000000, 26.903797, 2.202982, -3.099675, 3.099675, 0.000000, 0.000000
-1214.284302, -488.943817, -0.981169, 2.244445, 0.101926, 262.000000, 27.107498, 2.202663, -3.099354, 3.099354, 0.000000, 0.000000
-1214.171021, -488.774323, -0.981808, 2.244445, 0.101926, 264.000000, 27.311180, 2.202345, -3.099032, 3.099032, 0.000000, 0.000000
-1214.057861, -488.604736, -0.982448, 2.244445, 0.101926, 266.000000, 27.514864, 2.202025, -3.098712, 3.098712, 0.000000, 0.000000
-1213.944824, -488.435089, -0.983088, 2.244445, 0.101926, 268.000000, 27.718531, 2.201706, -3.098392, 3.098392, 0.000000, 0.000000
-1213.831909, -488.265381, -0.983728, 2.244445, 0.101926, 270.000000, 27.922176, 2.201386, -3.098072, 3.098072, 0.000000, 0.000000
-1213.719116, -488.095581, -0.984368, 2.244445, 0.101926, 272.000000, 28.125826, 2.201065, -3.097752, 3.097752, 0.000000, 0.000000
-1213.606445, -487.925720, -0.985008, 2.244445, 0.101926, 274.000000, 28.329458, 2.200744, -3.097433, 3.097433, 0.000000, 0.000000
-1213.493896, -487.755798, -0.985648, 2.244445, 0.101926, 276.000000, 28.533068, 2.200424, -3.097114, 3.097114, 0.000000, 0.000000
-1213.381470, -487.585785, -0.986288, 2.244445, 0.101926, 278.000000, 28.736683, 2.200102, -3.096796, 3.096796, 0.000000, 0.000000
-1213.269043, -487.415710, -0.986928, 2.244445, 0.101926, 280.000000, 28.940353, 2.199784, -3.096474, 3.096474, 0.000000, 0.000000
-1213.156738, -487.245544, -0.987568, 2.244445, 0.101926, 282.000000, 29.144026, 2.199465, -3.096153, 3.096153, 0.000000, 0.000000
-1213.044556, -487.075317, -0.988208, 2.244445, 0.101926, 284.000000, 29.347679, 2.199145, -3.095833, 3.095833, 0.000000, 0.000000
-1212.932495, -486.905029, -0.988848, 2.244445, 0.101926, 286.000000, 29.551315, 2.198826, -3.095512, 3.095512, 0.000000, 0.000000
-1212.820557, -486.734650, -0.989487, 2.244445, 0.101926, 288.000000, 29.754957, 2.198506, -3.095192, 3.095192, 0.000000, 0.000000
-1212.708740, -486.564209, -0.990127, 2.244445, 0.101926, 290.000000, 29.958576, 2.198185, -3.094873, 3.094873, 0.000000, 0.000000
-1212.597046, -486.393707, -0.990767, 2.244445, 0.101926, 292.000000, 30.162178, 2.197865, -3.094553, 3.094553, 0.000000, 0.000000
-1212.485474, -486.223114, -0.991407, 2.244445, 0.101926, 294.000000, 30.365786, 2.197544, -3.094235, 3.094235, 0.000000, 0.000000
-1212.374023, -486.052460, -0.992047, 2.244445, 0.101926, 296.000000, 30.569372, 2.197222, -3.093916, 3.093916, 0.000000, 0.000000
-1212.262573, -485.881744, -0.992687, 2.244445, 0.101926, 298.000000, 30.773014, 2.196904, -3.093595, 3.093595, 0.000000, 0.000000
-1212.151245, -485.710938, -0.993327, 2.244445, 0.101926, 300.000000, 30.976660, 2.196585, -3.093274, 3.093274, 0.000000, 0.000000
-1212.040039, -485.540070, -0.993967, 2.244445, 0.101926, 302.000000, 31.180290, 2.196266, -3.092953, 3.092953, 0.000000, 0.000000
-1211.928955, -485.369141, -0.994607, 2.244445, 0.101926, 304.000000, 31.383898, 2.195946, -3.092632, 3.092632, 0.000000, 0.000000
-1211.817993, -485.198120, -0.995247, 2.244445, 0.101926, 306.000000, 31.587513, 2.195626, -3.092312, 3.092312, 0.000000, 0.000000
-1211.707153, -485.027039, -0.995887, 2.244445, 0.101926, 308.000000, 31.791109, 2.195306, -3.091993, 3.091993, 0.000000, 0.000000
-1211.596436, -484.855896, -0.996527, 2.244445, 0.101926, 310.000000, 31.994686, 2.194986, -3.091673, 3.091673, 0.000000, 0.000000
-1211.485840, -484.684662, -0.997166, 2.244445, 0.101926, 312.000000, 32.198269, 2.194665, -3.091354, 3.091354, 0.000000, 0.000000
-1211.375366, -484.513367, -0.997806, 2.244445, 0.101926, 314.000000, 32.401836, 2.194344, -3.091035, 3.091035, 0.000000, 0.000000
-1211.265015, -484.342010, -0.998446, 2.244445, 0.101926, 316.000000, 32.605381, 2.194023, -3.090716, 3.090716, 0.000000, 0.000000
-1211.154663, -484.170563, -0.999086, 2.244445, 0.101926, 318.000000, 32.809010, 2.193704, -3.090395, 3.090395, 0.000000, 0.000000
-1211.044434, -483.999054, -0.999726, 2.244445, 0.101926, 320.000000, 33.012615, 2.193385, -3.090075, 3.090075, 0.000000, 0.000000
-1210.934326, -483.827484, -1.000366, 2.244445, 0.101926, 322.000000, 33.216202, 2.193066, -3.089754, 3.089754, 0.000000, 0.000000
-1210.824341, -483.655853, -1.001006, 2.244445, 0.101926, 324.000000, 33.419769, 2.192746, -3.089433, 3.089433, 0.000000, 0.000000
-1210.714478, -483.484131, -1.001646, 2.244445, 0.101926, 326.000000, 33.623348, 2.192426, -3.089113, 3.089113, 0.000000, 0.000000
-1210.604736, -483.312347, -1.002286, 2.244445, 0.101926, 328.000000, 33.826908, 2.192106, -3.088793, 3.088793, 0.000000, 0.000000
-1210.495117, -483.140503, -1.002926, 2.244445, 0.101926, 330.000000, 34.030449, 2.191786, -3.088474, 3.088474, 0.000000, 0.000000
-1210.385620, -482.968567, -1.003566, 2.244445, 0.101926, 332.000000, 34.233997, 2.191465, -3.088155, 3.088155, 0.000000, 0.000000
-1210.276245, -482.796570, -1.004205, 2.244445, 0.101926, 334.000000, 34.437527, 2.191144, -3.087836, 3.087836, 0.000000, 0.000000
-1210.166992, -482.624512, -1.004845, 2.244445, 0.101926, 336.000000, 34.641037, 2.190823, -3.087517, 3.087517, 0.000000, 0.000000
-1210.057739, -482.452362, -1.005485, 2.244445, 0.101926, 338.000000, 34.844627, 2.190504, -3.087196, 3.087196, 0.000000, 0.000000
-1209.948608, -482.280151, -1.006125, 2.244445, 0.101926, 340.000000, 35.048199, 2.190185, -3.086875, 3.086875, 0.000000, 0.000000
